"","OrInterestRate","OrUnpaidPrinc","OrLTV","DTIRat","CreditScore","LoanPurpose","PropertyType","OccStatus","PropertyState","Default","year"
"1",4.125,124000,79,28,792,"R","SF","P","TX",0,2011
"2",4.625,115000,68,34,705,"C","SF","P","IL",0,2011
"3",4.375,175000,52,29,776,"C","PU","S","AZ",0,2011
"4",4.375,365000,59,40,797,"C","PU","P","IL",0,2011
"5",3.875,69000,28,32,785,"C","SF","P","SC",0,2011
"6",3.875,74000,61,12,804,"C","SF","P","KY",0,2011
"7",4,417000,37,49,806,"R","PU","P","GA",0,2011
"8",3.875,212000,80,45,788,"P","CO","P","NJ",0,2011
"9",4.5,356000,80,34,732,"C","PU","P","MO",0,2011
"10",3.907,130000,75,31,766,"C","SF","P","MI",0,2011
"11",4.25,266000,48,49,695,"R","SF","P","MA",0,2011
"12",4.375,434000,79,28,767,"R","SF","P","MA",0,2011
"13",4.25,30000,20,45,636,"C","SF","P","IN",0,2011
"14",4.5,705000,62,40,794,"R","SF","I","CA",0,2011
"15",5.125,179000,80,50,760,"P","SF","S","OR",0,2011
"16",4.99,184000,45,23,786,"C","SF","P","CA",0,2011
"17",4.375,160000,72,42,812,"R","SF","S","MD",0,2011
"18",4.75,207000,78,36,800,"P","SF","P","IA",0,2011
"19",4.375,532000,80,36,774,"P","SF","P","CA",0,2011
"20",4.75,120000,38,40,760,"C","CO","P","NJ",0,2011
"21",5.25,125000,80,44,790,"P","SF","P","OH",0,2011
"22",4.5,167000,27,29,795,"R","SF","P","IL",0,2011
"23",4.375,248000,80,43,725,"R","SF","S","MI",0,2011
"24",5.25,224000,80,33,742,"P","SF","P","AL",0,2011
"25",3.75,80000,57,10,802,"C","SF","P","KS",0,2011
"26",4.875,199000,80,16,722,"P","SF","P","WI",0,2011
"27",4,158000,45,32,758,"R","PU","P","NC",0,2011
"28",4,173000,42,6,773,"R","PU","P","IN",0,2011
"29",4.25,300000,65,36,799,"C","SF","P","CA",0,2011
"30",4.375,372000,65,25,733,"C","SF","P","NJ",0,2011
"31",4.25,102000,68,34,747,"R","SF","P","IN",0,2011
"32",4.375,402000,77,31,794,"R","SF","P","OH",0,2011
"33",4.875,74000,63,26,732,"P","SF","P","AZ",0,2011
"34",3.5,281000,48,43,784,"C","SF","P","NJ",0,2011
"35",3.875,271000,78,39,743,"C","SF","P","LA",0,2011
"36",4.625,76000,90,35,770,"R","CO","P","CO",0,2011
"37",4.125,105000,90,31,807,"P","PU","S","AZ",0,2011
"38",3.875,345000,75,22,706,"C","PU","P","HI",0,2011
