"FXE","EWJ","GLD","QQQ","SPY","SHV","DBA","USO","XBI","ILF","GAF","EPP","FEZ"
"Cumulative Return",-0.0366635262303049,0.124037090432088,0.234771010078153,0.375480773530642,0.310203143150594,-0.000406182112157261,-0.0201114520705042,0.115165803899709,0.225564380582282,0.435438290697905,0.323545682118732,0.418485149643341,0.212018477318337
"Mean Return",-0.000185528588164104,0.000586895148581768,0.00105687366425889,0.0015974853398494,0.00135409306197604,-8.85879720519833e-07,-9.9923518508615e-05,0.000546925861636014,0.00101930009402757,0.00181239628346535,0.00140463312065132,0.0017517521994243,0.000964972047174839
"Min Return",-0.00270242335149181,-0.00404108468275131,-0.00388311517161853,-0.00294986599296628,-0.00346938705987503,-0.00199883898998304,-0.00413153018922417,-0.0043702041802343,-0.00288496172237227,-0.00565900421257608,-0.00280109329301882,-0.00320650223440991,-0.00520153181899708
"Max Drawdown",0.118960779264003,0.0654816530896398,0.0224658363668255,0.0122649958737771,0.0147538732484566,0.106481866961215,0.120608206621257,0.0623285153936189,0.0420291246227268,0.0115711121370873,0.013951547250447,0.0100777715818318,0.0404170438385164
"Volatility",0.00156382502175011,0.00205050900525856,0.00195038526223107,0.00210344232384409,0.00213708924763161,0.00151755447033018,0.00182317214135386,0.00188251398573709,0.00189020920134375,0.0026203944255553,0.00204576362785146,0.00214077551740441,0.00248686958316379
"Sharp Ratio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Skewness",0.22473712383955,0.032938278887211,0.255572933784233,0.0225165085224063,-0.0298415875322981,0.252239789534062,0.15787754290739,0.129116802607975,0.101833803793703,-0.165166514818062,0.0103947610607735,-0.0288406363757073,-0.0407905235953485
"Kurtosis",-1.31632378966823,-0.830330232275937,-0.177238489322548,-0.758803862123331,-0.731032316059288,-1.41176610383227,-0.787874373287111,-0.667557197079254,-0.838916852256656,-0.56740482323585,-0.751013819864221,-0.608444640640525,-0.660481382927166
"Modified VaR",-0.00269234148206915,-0.00279305663525937,-0.00200852559969506,-0.0018729570124814,-0.00220217130642207,-0.00242425755567146,-0.00303872120632542,-0.0024986027866361,-0.00205976881004754,-0.0026382191776124,-0.00197732670012367,-0.00180489399757838,-0.00317753383986269
"CVaR",-0.00294578270716092,-0.00333070353914544,-0.00262050292242628,-0.00245452160108215,-0.00281748252602136,-0.00264582763864242,-0.00349793757541196,-0.00301719595115302,-0.00253583080892862,-0.00350993981859842,-0.00254899425134672,-0.00247070552702427,-0.00393023557037903
