"FXE","EWJ","GLD","QQQ","SPY","SHV","DBA","USO","XBI","ILF","GAF","EPP","FEZ"
"Cumulative Return",-0.0860374107660317,-0.226290756786334,-0.0902731927455016,-0.288349185042545,-0.319151615397228,0.00143053703079765,-0.367977967240967,-0.610904160941091,0.111227957387845,-0.471369488302219,-0.360373777088339,-0.411727255324292,-0.379748625215343
"Mean Return",-0.000440011194404976,-0.000897897943662403,-0.00045017575241591,-0.00135777241234591,-0.00152296883144265,1.10836887590585e-05,-0.00223985182629025,-0.00454674765389737,0.000763911292316836,-0.00214733871326842,-0.0016551083130663,-0.00205995969998493,-0.00187593886583546
"Min Return",-0.0136943894420687,-0.0974820108117373,-0.0261930045561844,-0.0913933178219714,-0.0939776284644004,-0.00662011809550541,-0.0392744863016323,-0.0676859441847933,-0.076909798898368,-0.161237932512094,-0.122424812234526,-0.121768975925099,-0.109212702531169
"Max Drawdown",0.238591980997938,0.443184602063647,0.253936873265684,0.473144117098413,0.487530324359497,0.203069165260468,0.421299635574427,0.625475019206245,0.368016436930407,0.667814864879602,0.568759963640088,0.580143854376107,0.539830680102918
"Volatility",0.00441592637293618,0.0278420122832747,0.00674974383479118,0.026163007103144,0.0282258641689709,0.00280996568544434,0.0101987333729551,0.0180826363031905,0.0217570170215865,0.0457280614112327,0.034033840063194,0.0344430288160038,0.032015686203271
"Sharp Ratio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Skewness",-0.345337848044035,0.413958737726099,-0.882015296032659,0.00464831615017778,0.0826029359415861,-1.08206619549507,0.600575611018804,0.955969323127342,-0.253404586112072,0.472456800916577,0.187379622886316,0.319176542570513,0.295686349535666
"Kurtosis",1.26630581300868,4.75321822863871,1.58989859557995,3.22955333517104,3.51363319698436,-0.141105825245261,5.50564111447521,6.95608554341525,2.39820928654409,4.76504207638597,3.72026638865702,4.27668231659473,4.2398928660413
"Modified VaR",-0.00799769807963666,-0.0406666679487319,-0.0128965792718393,-0.0426071814498437,-0.0452445872357502,-0.00540374268090362,-0.0160855649677957,-0.0265876075885053,-0.0354481615096455,-0.0666568937450992,-0.0532139000395156,-0.0525425158643214,-0.0490440752463092
"CVaR",-0.0112502854392846,-0.0492826488738897,-0.0182600789622946,-0.0627863050772042,-0.0651968582064873,-0.00574429462625118,-0.0164590722056657,-0.0265876075885053,-0.0547966840363194,-0.0778196721970281,-0.0736196727511995,-0.0678187993720163,-0.064142476926057
