"FXE","EWJ","GLD","QQQ","SPY","SHV","DBA","USO","XBI","ILF","GAF","EPP","FEZ"
"Cumulative Return",-0.890476700790251,-0.871990543689025,-0.859239959374408,-0.843009656071896,-0.850541259508332,-0.886308854722386,-0.888572126150368,-0.873013817993467,-0.860294451695488,-0.836093926444274,-0.849002006992575,-0.838049437489734,-0.861856836255493
"Mean Return",-0.0109971085881641,-0.0102246848514182,-0.00975470633574111,-0.0092140946601506,-0.00945748693802396,-0.0108124658797205,-0.0109115035185086,-0.010264654138364,-0.00979227990597243,-0.00899918371653465,-0.00940694687934868,-0.0090598278005757,-0.00984660795282516
"Min Return",-0.0120435994617443,-0.0140010846827513,-0.0138431151716185,-0.0129098659929663,-0.013429387059875,-0.0109925343082049,-0.0130955301892242,-0.0143302041802343,-0.0128449617223723,-0.0156190042125761,-0.0131627700018636,-0.0136522440285021,-0.0151615318189971
"Max Drawdown",0.890476700790251,0.871990543689025,0.859239959374408,0.843009656071896,0.850541259508332,0.886308854722386,0.888572126150368,0.873013817993467,0.860294451695488,0.836093926444274,0.849002006992575,0.838049437489734,0.861856836255493
"Volatility",0.000360424408312445,0.00136020090051892,0.00133057825456582,0.00143779245144308,0.00152632348854326,8.17830811673156e-05,0.000906953543329841,0.0011620118508036,0.0010428068657359,0.00217056959577403,0.00138445241973589,0.00154075248058936,0.0019434881841737
"Sharp Ratio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Skewness",-0.314344241451725,-0.151856941540638,0.0137317711937329,-0.215654751023977,-0.278282130951204,0.19602312156493,0.215039418879465,-0.442647470858432,-0.3762822586971,-0.303073867161078,-0.283597515367435,-0.374588335504601,-0.18978427506946
"Kurtosis",-0.138817209318016,-0.315039444998756,0.93415718646063,-0.213782119442068,-0.451491054878625,-0.0525026284180446,-0.249851456974052,1.34132992148217,0.346190044959606,-0.315129655596158,-0.373203731915492,-0.280225733785824,-0.179018153447033
"Modified VaR",-0.0116208950316207,-0.0125231942348051,-0.0119090874755305,-0.0116660541567315,-0.0120935753895108,-0.0109422143268304,-0.012348909972936,-0.0122818576000269,-0.0116044901986645,-0.0127566950522339,-0.0117978790585705,-0.0117556258760261,-0.0131458634198852
"CVaR",-0.01177702693826,-0.0130456306144309,-0.0126334057244221,-0.0122579292642655,-0.0126446071045381,-0.0109705194376332,-0.0126353554429602,-0.0131794072255024,-0.0121738920614884,-0.0136083931363824,-0.0123226950542372,-0.0123683604472702,-0.0139550550779932
