"FXE","EWJ","GLD","QQQ","SPY","SHV","DBA","USO","XBI","ILF","GAF","EPP","FEZ"
"Cumulative Return",-0.965910908909539,-0.973315168750154,-0.959659272567073,-0.966316006811292,-0.969605856251304,-0.969020667258949,-0.959333802532915,-0.952248020874377,-0.961603202936613,-0.95784579180863,-0.964224569350144,-0.964656862079749,-0.965291056710834
"Mean Return",-0.0167516687647147,-0.0179332853951564,-0.0159191381805256,-0.0167499088130863,-0.0172647673088382,-0.0172220858335274,-0.015881971732085,-0.0150923160949733,-0.0161274457401884,-0.015496022451972,-0.0164307110508098,-0.0164572880881702,-0.0166045990668881
"Min Return",-0.0199671540100073,-0.034709294402577,-0.0249678507589718,-0.0450390196020037,-0.0450117202963582,-0.0183304412018981,-0.0225911402807611,-0.020147336618412,-0.0395226588232099,-0.0677200661672602,-0.0509014257726857,-0.0630099367136309,-0.0478877285649561
"Max Drawdown",0.965910908909539,0.973315168750154,0.959659272567073,0.966316006811292,0.969605856251304,0.969020667258949,0.959333802532915,0.952248020874377,0.961603202936613,0.95784579180863,0.964224569350144,0.964656862079749,0.965291056710834
"Volatility",0.000793846642722331,0.0065656636661798,0.00304309995566257,0.0109565839732184,0.0100342726767113,0.000352414314917703,0.00213760263233577,0.00159769766882168,0.00881683612227526,0.0204084915313412,0.0128588722196967,0.0151874238831206,0.0107676519246438
"Sharp Ratio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Skewness",-0.674449406784342,-0.267016205369296,-0.256613271397016,-0.220606264035683,-0.309589223097548,0.305780212563281,-0.406900170071744,-0.384249325760253,-0.172597914420881,-0.278049654538324,-0.296500827688186,-0.300422007740768,-0.301079170677831
"Kurtosis",2.89572039012463,0.495974831188268,0.625001685927205,0.207505248319314,0.768237778005486,1.6344760801566,1.43190971187256,0.630040896229464,0.0405279942463303,0.598148989288475,0.69864752330261,0.844702147440993,0.782363191743577
"Modified VaR",-0.0181535208774178,-0.0291305486666376,-0.0210926138702438,-0.0353590914049484,-0.0344395334696179,-0.0177582754249114,-0.0195686527967852,-0.0178633274228448,-0.0310152330835391,-0.0503213936791796,-0.0384121776279193,-0.0423918320221495,-0.0350068848317603
"CVaR",-0.0190614178478597,-0.0328465027758157,-0.0228869581878485,-0.04083319839833,-0.0407528972290596,-0.017913804149294,-0.0212453489160168,-0.0188386035993495,-0.035055400207104,-0.0623353057818922,-0.046288645113992,-0.0521521299686039,-0.0417940692041728
