"FXE","EWJ","GLD","QQQ","SPY","SHV","DBA","USO","XBI","ILF","GAF","EPP","FEZ"
"Cumulative Return",-0.717615563959451,-0.76110377496223,-0.718982839287791,-0.780331191972575,-0.789902377014763,-0.690415822069041,-0.805147154360814,-0.880390110050627,-0.656081648563513,-0.837126397015629,-0.80267869541442,-0.818629246005835,-0.808718563209942
"Mean Return",-0.00629649119440498,-0.0067543779436624,-0.00630665575241591,-0.00721425241234591,-0.00737944883144265,-0.00584539631124094,-0.00809633182629025,-0.0104032276538974,-0.00509256870768316,-0.00800381871326842,-0.0075115883130663,-0.00791643969998493,-0.00773241886583546
"Min Return",-0.0176783894420687,-0.101466010811737,-0.0301770045561844,-0.0953773178219714,-0.0979616284644004,-0.00719990828952689,-0.0432584863016323,-0.0716699441847933,-0.076909798898368,-0.165221932512094,-0.126408812234526,-0.125752975925099,-0.113196702531169
"Max Drawdown",0.717615563959451,0.774390077692192,0.718982839287791,0.792007472835415,0.801935974987566,0.690415822069041,0.805914350291819,0.881642129802011,0.680310438409282,0.860513552646518,0.822085819821655,0.83387169033681,0.821735055013093
"Volatility",0.00346430376784431,0.0276242015670101,0.00630604418685567,0.0258996413052667,0.0279838354575438,0.000395428169514648,0.00980779455515367,0.0178650273944198,0.0214414460694412,0.0455617652715206,0.0338147748508179,0.0342390969862663,0.0318057233046026
"Sharp Ratio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Skewness",1.09396787771991,0.652461039008053,-0.395350198766261,0.261401695540507,0.313565723547917,0.0499344084739873,1.24844892441884,1.30829232709088,0.053949907807285,0.617090996746422,0.386419354384604,0.512936159769211,0.500358019612002
"Kurtosis",7.11756355827082,5.12790036560141,2.58648873575257,3.42957419903891,3.73681744963481,1.62975581701399,7.67672424457108,8.00529826520708,2.48593770201607,4.96752091898004,3.91271462696263,4.51966947407803,4.50468133771244
"Modified VaR",-0.0103555152023337,-0.0440251028206452,-0.017020221153719,-0.0460427280742296,-0.0487374625498258,-0.00647620153734553,-0.0189883088402319,-0.0297765698495367,-0.0389121844530833,-0.0701107099972044,-0.0566454353849038,-0.0559679500761264,-0.0524983280543731
"CVaR",-0.0103555152023337,-0.0450509163481607,-0.0232891437133153,-0.059548918897536,-0.0617583916703181,-0.00671565288770984,-0.0189883088402319,-0.0297765698495367,-0.0534458023150537,-0.0739796824880828,-0.0696786186950337,-0.0636018004948913,-0.0600164371371021
