date,fxe,ewj,gld,qqq,spy,shv,dba,uso,xbi,ilf,gaf,epp,fez
2007/1/3,122.930611,48.660412,62.279999,38.903549,111.166,NA,NA,49.400002,14.536129,25.878641,NA,26.2363,35.871662
2007/1/4,122.193306,49.174423,61.650002,39.641331,111.401939,NA,NA,47.389999,14.831878,25.572939,NA,25.790236,35.851967
2007/1/5,121.409393,47.906513,60.169998,39.452377,110.513351,NA,24.20788,47.830002,14.825515,24.905249,NA,25.442598,35.228413
2007/1/8,121.577354,48.180656,60.48,39.479374,111.024483,NA,24.169178,47.490002,14.873219,25.206396,NA,25.643646,35.248104
2007/1/9,121.381355,48.489071,60.849998,39.677307,110.930107,NA,23.859564,47.299999,14.914558,24.561525,NA,25.714842,35.162766
2007/1/10,120.924103,47.76944,60.59,40.145161,111.299667,NA,23.927292,45.360001,15.041761,24.79118,NA,25.486582,34.782066
2007/1/11,120.485428,47.52956,60.630001,40.559044,111.787224,99.14267,24.285284,44.34,15.308888,25.022362,NA,25.633167,35.162766
2007/1/12,120.718742,48.146385,62.169998,40.765961,112.63649,99.197357,26.220366,44.630001,15.541032,25.414766,NA,26.028975,35.418762
2007/1/16,120.737396,48.317722,61.970001,40.738956,112.416328,99.179123,25.156069,43.34,15.547394,25.270277,NA,26.15044,35.32687
2007/1/17,120.840065,48.317722,62.639999,40.406078,112.463547,99.23391,25.030291,44.220001,15.576016,25.356964,NA,26.219542,35.116829
2007/1/18,121.157433,48.283459,62.259998,39.659313,112.08606,99.22477,25.156069,43.23,15.41065,25.064945,NA,26.269815,35.005234
2007/1/19,121.194733,48.626133,63,39.740292,112.306236,99.206505,25.010939,44.43,15.423369,25.544044,NA,26.711691,35.438461
2007/1/22,121.082748,48.626133,62.720001,39.308422,111.960243,99.243011,25.252825,43.84,15.264367,25.612482,NA,26.713779,35.097137
2007/1/23,121.82933,48.90028,64.230003,39.209461,112.290543,99.25209,25.707567,45.650002,15.159424,26.220856,NA,27.130533,35.372822
2007/1/24,121.278702,49.551373,64.330002,39.857254,113.194801,99.306847,25.204447,46.099998,15.30571,26.55546,NA,26.919014,35.622246
2007/1/25,121.064056,48.728943,64.059998,39.344421,111.86586,99.306847,25.088343,45.27,15.099005,25.81933,NA,26.225828,35.116829
2007/1/26,120.830742,48.763203,64.169998,39.200459,111.763634,99.297714,25.194773,46.279999,15.060843,26.007923,NA,26.326351,35.234978
2007/1/29,121.176064,48.934544,63.77,39.236458,111.700737,99.370689,24.769053,44.970001,15.133985,25.673319,NA,26.343105,35.320309
2007/1/30,121.353386,49.242958,64.220001,39.254471,112.282623,99.370689,25.078667,47.360001,15.229386,25.96991,NA,26.680273,35.68132
2007/1/31,122.025337,49.037357,64.830002,39.650303,113.037529,99.416306,25.059317,48.240002,15.194405,26.523523,NA,26.640486,35.884792
2007/2/1,121.853218,49.688442,65.220001,39.587337,113.713799,99.419975,24.962561,47.84,15.286629,26.779041,NA,26.690742,36.101398
2007/2/2,121.376053,49.380032,64.279999,39.731297,113.871086,99.447403,25.185097,49.34,15.226204,26.841398,NA,26.85829,35.989838
2007/2/5,121.039192,49.003086,64.309998,39.695309,113.902512,99.474846,25.233473,49.099998,15.159424,26.937208,NA,26.85829,35.825714
2007/2/6,121.525711,49.414299,64.790001,39.641331,113.93399,99.465691,24.865808,49.209999,15.133985,27.115166,NA,27.111685,36.048901
2007/2/7,121.825127,49.380032,64.629997,40.001213,114.185593,99.520569,24.827106,48.25,15.251646,26.90984,NA,27.243622,36.252377
2007/2/8,122.10582,48.763203,65.519997,39.992203,114.036194,99.511414,25.039963,49.75,15.35341,26.93417,NA,27.373457,36.252377
2007/2/9,121.778351,48.90028,66.120003,39.479374,113.186935,99.538834,25.310875,49.990002,15.210305,26.479412,NA,27.22476,35.989838
2007/2/12,121.413445,48.866016,65.669998,39.326439,112.801605,99.538834,25.098019,48.369999,15.598274,26.371428,NA,26.996504,35.753521
2007/2/13,122.096413,49.894054,65.839996,39.46138,113.753098,99.538834,25.320551,49.360001,15.741379,26.969158,NA,27.277128,36.324574
2007/2/14,123.013351,50.716484,66.370003,40.127171,114.500122,99.602936,25.156069,48.450001,15.766817,27.52886,NA,27.559851,36.685581
2007/2/15,123.163055,51.127697,66.410004,40.361088,114.649536,99.612007,25.465681,48.349998,15.700031,27.436081,NA,27.639423,36.659328
2007/2/16,123.125618,51.093422,66.360001,40.226143,114.594467,99.630287,25.872049,49.349998,15.84314,27.395016,NA,27.664553,36.600258
2007/2/20,123.116211,50.922092,65.309998,40.532028,114.838272,99.639465,25.794647,48.669998,15.979886,27.407187,NA,27.775549,36.659328
2007/2/21,123.172386,50.956348,67.349998,40.658005,114.791084,99.676079,26.084909,49.860001,15.925817,27.422392,NA,27.786018,36.475552
