contract_name,last_trade_date,strike_price,last_price,bid_price,ask_price,implied_volatility
AMZN180420C00620000,2018-01-25 3:11PM EST,620,750,782.25,786.75,119.16%
AMZN180420C00640000,2018-01-16 10:06AM EST,640,688.4,656,660.7,0.00%
AMZN180420C00660000,2018-01-16 3:08PM EST,660,653.1,636,640.8,0.00%
AMZN180420C00680000,2018-02-02 3:12PM EST,680,757.35,752.95,757.95,147.23%
AMZN180420C00700000,2018-02-05 11:41AM EST,700,742.35,706.1,714.9,112.74%
AMZN180420C00720000,2018-02-02 3:10PM EST,720,711.8,713.25,718.25,137.99%
AMZN180420C00740000,2018-02-05 11:41AM EST,740,702.6,665.6,670.6,101.72%
AMZN180420C00760000,2018-02-02 3:13PM EST,760,679.6,673.55,678.55,129.24%
AMZN180420C00780000,2018-02-05 11:41AM EST,780,662.9,626.4,635.5,98.33%
AMZN180420C00800000,2018-02-02 3:12PM EST,800,638.05,633.75,638.75,120.85%
AMZN180420C00820000,2017-08-25 10:57PM EST,820,169.4,183.15,186.9,0.00%
AMZN180420C00835000,2017-12-01 9:49AM EST,835,345.25,335.6,340.5,0.00%
AMZN180420C00840000,2018-01-09 1:51PM EST,840,416.05,468.95,472.05,0.00%
AMZN180420C00845000,2017-11-28 1:52PM EST,845,360,324.75,329.5,0.00%
AMZN180420C00860000,2018-02-02 9:43AM EST,860,623,574.35,579.35,109.21%
AMZN180420C00870000,2017-10-10 9:42AM EST,870,330.75,306.4,310.75,0.00%
AMZN180420C00875000,2018-02-01 10:31AM EST,875,556.7,559.4,564.4,106.33%
AMZN180420C00880000,2017-12-29 10:02AM EST,880,308.06,296.6,301.5,0.00%
AMZN180420C00885000,2018-01-09 3:03PM EST,885,376.5,424.55,427.6,0.00%
AMZN180420C00890000,2017-10-10 9:42AM EST,890,136.15,129.15,132.15,0.00%
