contract_name,last_trade_date,strike_price,last_price,bid_price,ask_price,implied_volatility
AMZN180420P00620000,2018-02-01 3:36PM EST,620,0.4,0.05,5,86.15%
AMZN180420P00640000,2018-01-26 3:50PM EST,640,0.16,0,0.16,56.35%
AMZN180420P00660000,2018-01-05 3:16PM EST,660,0.44,0.01,0.74,62.79%
AMZN180420P00680000,2018-02-05 9:56AM EST,680,0.18,0,1.87,67.21%
AMZN180420P00700000,2018-01-24 3:02PM EST,700,0.25,0,0.82,58.72%
AMZN180420P00720000,2018-02-05 1:54PM EST,720,0.31,0.1,1.97,63.06%
AMZN180420P00740000,2018-01-12 3:49PM EST,740,0.39,0.25,0.89,56.37%
AMZN180420P00760000,2018-02-02 12:56PM EST,760,0.3,0,5,66.14%
AMZN180420P00780000,2018-02-01 2:37PM EST,780,0.81,0,2.14,56.27%
AMZN180420P00800000,2018-02-05 2:36PM EST,800,0.45,0.45,2.3,55.92%
AMZN180420P00820000,2018-01-30 1:42PM EST,820,0.69,0,2.32,52.42%
AMZN180420P00835000,2018-02-05 10:21AM EST,835,0.43,0,2.47,51.23%
AMZN180420P00840000,2018-02-02 10:21AM EST,840,0.52,0,5,56.31%
AMZN180420P00845000,2018-02-05 10:21AM EST,845,0.51,0.19,2.6,51.03%
AMZN180420P00860000,2018-01-31 1:22PM EST,860,0.86,0,5,53.99%
AMZN180420P00870000,2018-02-02 10:18AM EST,870,0.56,0.44,1.58,49.23%
AMZN180420P00875000,2018-01-16 12:40PM EST,875,1.12,0.86,1.91,50.10%
AMZN180420P00880000,2018-01-26 3:11PM EST,880,1.2,0.34,1.55,48.02%
AMZN180420P00885000,2018-01-02 9:49AM EST,885,3.3,1.77,2.13,49.85%
AMZN180420P00890000,2018-02-05 2:58PM EST,890,1.6,0.63,2.94,51.98%
